Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2026.1 (win64) Build 6511674 Tue Jun 16 11:02:23 MDT 2026
| Date         : Fri Sep 11 01:09:47 2026
| Host         : 4080PC running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file F:/bitnet-kv260/hardware/trit19-utilization-hier.txt
| Design       : design_1_wrapper
| Device       : xck26-sfvc784-2LV-c
| Speed File   : -2LV
| Design State : Physopt postRoute
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                        Instance                        |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         s01_nodes                                      |                             design_1_mem2_0_s01_nodes_imp_2DK7ND |        350 |        204 |     146 |    0 |   383 |      0 |      0 |    0 |          0 |
|         switchboards                                   |                         design_1_mem2_0_switchboards_imp_1YL7XZV |          0 |          0 |       0 |    0 |   452 |      0 |      0 |    0 |          0 |
|     mem3                                               |                                                  design_1_mem3_0 |       2129 |       1556 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|       inst                                             |                                          design_1_mem3_0_bd_c3e0 |       2129 |       1556 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|         m00_exit_pipeline                              |                    design_1_mem3_0_m00_exit_pipeline_imp_1QYVKCR |        283 |        277 |       0 |    6 |   851 |      0 |      0 |    0 |          0 |
|         m00_nodes                                      |                            design_1_mem3_0_m00_nodes_imp_1DLOEEF |        658 |        375 |     282 |    1 |   729 |      0 |      0 |    0 |          0 |
|         s00_entry_pipeline                             |                    design_1_mem3_0_s00_entry_pipeline_imp_R5CNGO |        294 |        294 |       0 |    0 |   622 |      0 |      0 |    0 |          0 |
|         s00_nodes                                      |                             design_1_mem3_0_s00_nodes_imp_WAHI36 |        272 |        136 |     136 |    0 |   325 |      0 |      0 |    0 |          0 |
|         s01_entry_pipeline                             |                   design_1_mem3_0_s01_entry_pipeline_imp_1XJVIU4 |        263 |        262 |       0 |    1 |   685 |      0 |      0 |    0 |          0 |
|         s01_nodes                                      |                            design_1_mem3_0_s01_nodes_imp_1SRP4MC |        352 |        206 |     146 |    0 |   383 |      0 |      0 |    0 |          0 |
